X;Y;Z
-0,4345578;-0,05;0,04444738
-0,4425424;-0,05;0,04907782
-0,446975;-0,05;0,05171315
-0,4497198;-0,05;0,05359948
-0,4578447;-0,05;0,05872091
-0,4609149;-0,05;0,0607852
-0,4632563;-0,05;0,06547982
-0,4682739;-0,05;0,0698595
-0,4718688;-0,05;0,07240669
-0,4739056;-0,05;0,07395301
-0,4781187;-0,05;0,07820632
-0,4792303;-0,05;0,08189499
-0,4809247;-0,05;0,08524634
-0,4813499;-0,05;0,09117504
-0,4797986;-0,05;0,09745453
-0,4810244;-0,05;0,09877934
-0,4804903;-0,05;0,1026925
-0,4788202;-0,05;0,1070673
-0,4795325;-0,05;0,1091204
-0,4783646;-0,05;0,1145889
-0,4787605;-0,05;0,1158337
-0,4791844;-0,05;0,1189658
-0,4804063;-0,05;0,1233734
-0,4814732;-0,05;0,1273162
-0,4832107;-0,05;0,1290679
-0,4861573;-0,05;0,1339411
-0,4891564;-0,05;0,1363593
-0,4928162;-0,05;0,1391185
-0,4976776;-0,05;0,1436525
-0,5024325;-0,05;0,1471975
-0,5059062;-0,05;0,1495502
-0,513083;-0,05;0,154513
-0,5177645;-0,05;0,158156
-0,5197169;-0,05;0,1596222
-0,5249302;-0,05;0,1632084
-0,5268827;-0,05;0,1663023
-0,5288483;-0,05;0,1677221
-0,5305982;-0,05;0,1694069
-0,5315195;-0,05;0,1699107
-0,5307924;-0,05;0,1720055
-0,5327517;-0,05;0,1706087
-0,5327937;-0,05;0,1711197
-0,531674;-0,05;0,1707233
-0,5286976;-0,05;0,1699059
-0,5243521;-0,05;0,167918
-0,51805;-0,05;0,1654537
-0,5100531;-0,05;0,1631959
-0,505111;-0,05;0,1629099
-0,4586335;-0,05;0,145406
-0,4592888;-0,05;0,1451988
-0,4597504;-0,05;0,1453457
-0,4603642;-0,05;0,1456019
-0,4603674;-0,05;0,1461553
-0,4601346;-0,05;0,1471429
-0,4593379;-0,05;0,1501628
-0,458003;-0,05;0,1532439
-0,4585636;-0,05;0,1614247
-0,4597357;-0,05;0,1624798
-0,4597996;-0,05;0,1625376
-0,4592806;-0,05;0,1627026
-0,4592505;-0,05;0,1627661
-0,4592174;-0,05;0,1627865
-0,4592337;-0,05;0,1627765
-0,4592019;-0,05;0,1628112
-0,459226;-0,05;0,1627889
-0,4592221;-0,05;0,1627951
-0,4592666;-0,05;0,1628058
-0,4592666;-0,05;0,1628058
-0,4592691;-0,05;0,1627853
-0,4592691;-0,05;0,1627853
-0,4592653;-0,05;0,1627915
