X,Y,Z
-0,01960397;-0,5458583;-0,2251404
-0,01960397;-0,5458583;-0,2251404
-0,01960397;-0,5458583;-0,2251404
-0,01970208;-0,552979;-0,2333679
-0,01970208;-0,552979;-0,2333679
-0,01970208;-0,552979;-0,2333679
-0,01970208;-0,552979;-0,2333679
-0,02825644;-0,552979;-0,2332642
-0,02825644;-0,552979;-0,2332642
-0,02825644;-0,552979;-0,2332642
-0,02825644;-0,552979;-0,2332642
-0,02825644;-0,552979;-0,2332642
-0,02825644;-0,552979;-0,2332642
-0,02825644;-0,552979;-0,2332642
-0,02825644;-0,552979;-0,2332642
-0,02825644;-0,552979;-0,2332642
-0,02825644;-0,552979;-0,2332642
-0,02825644;-0,552979;-0,2332642
-0,02812345;-0,5543416;-0,2224838
-0,02812345;-0,5543416;-0,2224838
-0,02812345;-0,5543416;-0,2224838
-0,03667333;-0,5543416;-0,2223755
-0,03667333;-0,5543416;-0,2223755
-0,03667333;-0,5543416;-0,2223755
-0,03667333;-0,5543416;-0,2223755
-0,03667333;-0,5543416;-0,2223755
-0,03667333;-0,5543416;-0,2223755
-0,03667333;-0,5543416;-0,2223755
-0,03653589;-0,5556996;-0,2115952
-0,03653589;-0,5556996;-0,2115952
-0,04508128;-0,5556996;-0,2114838
-0,04508128;-0,5556996;-0,2114838
-0,04508128;-0,5556996;-0,2114838
-0,04508128;-0,5556996;-0,2114838
-0,04508128;-0,5556996;-0,2114838
-0,04508128;-0,5556996;-0,2114838
-0,04508128;-0,5556996;-0,2114838
-0,04508128;-0,5556996;-0,2114838
-0,05362663;-0,5556996;-0,2113693
-0,05348032;-0,5570535;-0,2005875
-0,05348032;-0,5570535;-0,2005875
-0,05348032;-0,5570535;-0,2005875
-0,05348032;-0,5570535;-0,2005875
-0,05348032;-0,5570535;-0,2005875
-0,053334;-0,558403;-0,1898056
-0,06187043;-0,558403;-0,1896866
-0,06187043;-0,558403;-0,1896866
-0,06187043;-0,558403;-0,1896866
-0,07040685;-0,558403;-0,189566
-0,07040685;-0,558403;-0,189566
-0,07040685;-0,558403;-0,189566
-0,07025164;-0,559748;-0,1787827
-0,07025164;-0,559748;-0,1787827
-0,07025164;-0,559748;-0,1787827
-0,07878353;-0,559748;-0,1786591
-0,07878353;-0,559748;-0,1786591
-0,07878353;-0,559748;-0,1786591
-0,07878353;-0,559748;-0,1786591
-0,07878353;-0,559748;-0,1786591
-0,0873154;-0,559748;-0,1785309
-0,0873154;-0,559748;-0,1785309
-0,0873154;-0,559748;-0,1785309
-0,0873154;-0,559748;-0,1785309
-0,08715131;-0,5610885;-0,1677475
-0,09567869;-0,5610885;-0,1676163
-0,09567869;-0,5610885;-0,1676163
-0,09567869;-0,5610885;-0,1676163
-0,09567869;-0,5610885;-0,1676163
-0,104206;-0,5610885;-0,1674805
-0,104206;-0,5610885;-0,1674805
-0,104206;-0,5610885;-0,1674805
-0,1040331;-0,5624248;-0,1566971
-0,1125559;-0,5624248;-0,1565582
-0,1125559;-0,5624248;-0,1565582
-0,1126912;-0,5695489;-0,1647827
-0,1126912;-0,5695489;-0,1647827
-0,1126912;-0,5695489;-0,1647827
-0,1210355;-0,5708806;-0,1538574
-0,1210355;-0,5708806;-0,1538574
-0,1210355;-0,5708806;-0,1538574
-0,1210355;-0,5708806;-0,1538574
-0,1209923;-0,5793355;-0,1512939
-0,1295129;-0,5793355;-0,151149
-0,1295129;-0,5793355;-0,151149
-0,1295129;-0,5793355;-0,151149
-0,1295129;-0,5793355;-0,151149
-0,1380334;-0,5793355;-0,1509995
-0,137988;-0,5877892;-0,1484329
-0,137988;-0,5877892;-0,1484329
-0,137988;-0,5877892;-0,1484329
-0,1463123;-0,589108;-0,1374954
-0,1463123;-0,589108;-0,1374954
-0,146461;-0,5962421;-0,1457108
-0,1040293;-0,5975564;-0,135347
-0,1547864;-0,6060037;-0,132132
-0,1547864;-0,6060037;-0,132132
-0,163299;-0,6060037;-0,1319702
-0,1632493;-0,61445;-0,129393
-0,1632493;-0,61445;-0,129393
-0,1717608;-0,61445;-0,1292267
-0,1717099;-0,6228952;-0,1266464
