Numero du participant;Numero d'essaie;Condition;Position X;Position Y;Position Z;Cible touché;temps
1;1;b;0,1614705;-0,05;0,119934;0;35,79932
1;1;b;0,1609453;-0,05;0,1196497;0;35,81695
1;1;b;0,160385;-0,05;0,1195274;0;35,84828
1;1;b;0,1589868;-0,05;0,1189629;0;35,86488
1;1;b;0,1584596;-0,05;0,118852;0;35,88225
1;1;b;0,1567049;-0,05;0,1186599;0;35,91377
1;1;b;0,1558464;-0,05;0,1184769;0;35,93197
1;1;b;0,1547238;-0,05;0,1182412;0;35,94893
1;1;b;0,1526702;-0,05;0,117824;0;35,98107
1;1;b;0,1518443;-0,05;0,1176558;0;35,9991
1;1;b;0,1504251;-0,05;0,1171775;0;36,01769
1;1;b;0,1501904;-0,05;0,1171508;0;36,03735
1;1;b;0,1481001;-0,05;0,1167371;0;36,05597
1;1;b;0,1478692;-0,05;0,1166958;0;36,07267
1;1;b;0,1457762;-0,05;0,1164762;0;36,1022
1;1;b;0,1449959;-0,05;0,1158634;0;36,11971
1;1;b;0,1435055;-0,05;0,1155855;0;36,13924
1;1;b;0,1426768;-0,05;0,1154284;0;36,17076
1;1;b;0,1424257;-0,05;0,1151227;0;36,1888
1;1;b;0,1407263;-0,05;0,1142793;0;36,20581
1;1;b;0,1393683;-0,05;0,1138268;0;36,23717
1;1;b;0,13855;-0,05;0,1134179;0;36,2538
1;1;b;0,1382841;-0,05;0,1133707;0;36,27195
1;1;b;0,137476;-0,05;0,1125186;0;36,30274
1;1;b;0,1364983;-0,05;0,1112829;0;36,31975
1;1;b;0,1363054;-0,05;0,1108271;0;36,33845
1;1;b;0,135441;-0,05;0,1106534;0;36,35807
1;1;b;0,1352509;-0,05;0,1101823;0;36,37627
1;1;b;0,1345187;-0,05;0,1092686;0;36,39393
1;1;b;0,1341434;-0,05;0,1081275;0;36,42313
1;1;b;0,1337949;-0,05;0,106589;0;36,44013
1;1;b;0,1335914;-0,05;0,1063758;0;36,45832
1;1;b;0,1336649;-0,05;0,1042068;0;36,49015
1;1;b;0,1335708;-0,05;0,1029723;0;36,50713
1;1;b;0,1333054;-0,05;0,1024652;0;36,52615
1;1;b;0,1338099;-0,05;0,09805811;0;36,55864
1;1;b;0,13398;-0,05;0,09729156;0;36,57522
1;1;b;0,1340611;-0,05;0,0965946;0;36,59273
1;1;b;0,1343931;-0,05;0,09471952;0;36,62444
1;1;b;0,1345017;-0,05;0,09410547;0;36,64151
1;1;b;0,1348825;-0,05;0,09199024;0;36,65926
1;1;b;0,1346486;-0,05;0,09131208;0;36,68073
1;1;b;0,1349409;-0,05;0,08964895;0;36,6993
1;1;b;0,134898;-0,05;0,08945106;0;36,71631
1;1;b;0,1348834;-0,05;0,08771819;0;36,74573
1;1;b;0,1349238;-0,05;0,08752973;0;36,76335
1;1;b;0,1348919;-0,05;0,0858833;0;36,78078
1;1;b;0,1339835;-0,05;0,08533859;0;36,81349
1;1;b;0,1334338;-0,05;0,08480854;0;36,83221
1;1;b;0,1325751;-0,05;0,08420869;0;36,84948
1;1;b;0,1311212;-0,05;0,08332675;0;36,8815
1;1;b;0,1290378;-0,05;0,0827801;0;36,89952
1;1;b;0,127926;-0,05;0,08216726;0;36,91708
1;1;b;0,1272421;-0,05;0,08111216;0;36,95132
1;1;b;0,1267389;-0,05;0,08025725;0;36,96939
1;1;b;0,1267724;-0,05;0,08000951;0;36,98811
1;1;b;0,1265793;-0,05;0,07926431;0;37,01112
1;1;b;0,1266076;-0,05;0,07908938;0;37,0291
1;1;b;0,1267578;-0,05;0,07816468;0;37,04654
