x,y,z
0,0326281;-0,05;-0,2005881
0,03391824;-0,05;-0,2011864
0,03568355;-0,05;-0,2023119
0,03741701;-0,05;-0,2040804
0,03872018;-0,05;-0,2045957
0,0400067;-0,05;-0,2061719
0,04086055;-0,05;-0,2077904
0,04213941;-0,05;-0,2107052
0,0434533;-0,05;-0,2111406
0,04472901;-0,05;-0,2133309
0,04519032;-0,05;-0,213882
0,04606395;-0,05;-0,2153512
0,04603712;-0,05;-0,2183309
0,0465098;-0,05;-0,2183708
0,04650148;-0,05;-0,2195772
0,04692467;-0,05;-0,2216652
0,04647003;-0,05;-0,2242434
0,04645687;-0,05;-0,2261882
0,04506001;-0,05;-0,2295059
0,04414123;-0,05;-0,2311959
0,04409929;-0,05;-0,2323312
0,04181908;-0,05;-0,2329603
0,0399448;-0,05;-0,2343882
0,03858055;-0,05;-0,2353853
0,03498294;-0,05;-0,2354453
0,03265922;-0,05;-0,2369612
0,03032611;-0,05;-0,2384086
0,02713027;-0,05;-0,2386407
0,025747;-0,05;-0,2387343
0,02479923;-0,05;-0,2397792
0,02207352;-0,05;-0,240072
0,02071894;-0,05;-0,2400309
0,01835296;-0,05;-0,2424351
0,01477445;-0,05;-0,2423173
0,01056246;-0,05;-0,244778
0,008306369;-0,05;-0,2451682
0,003287856;-0,05;-0,2458555
0,00103711;-0,05;-0,2457593
-0,0007505603;-0,05;-0,2456779
-0,001247145;-0,05;-0,2464641
-0,001720771;-0,05;-0,2467311
-0,001766797;-0,05;-0,2476476
-0,003670711;-0,05;-0,2489897
-0,005471859;-0,05;-0,2488878
-0,006834488;-0,05;-0,2489113
-0,01009652;-0,05;-0,2500167
-0,01235289;-0,05;-0,2498891
-0,01417809;-0,05;-0,2498921
-0,01744008;-0,05;-0,2509815
-0,01923667;-0,05;-0,2509785
-0,02109905;-0,05;-0,2515897
-0,02428911;-0,05;-0,2517277
-0,0261033;-0,05;-0,2517185
-0,02792877;-0,05;-0,2515856
-0,03121777;-0,05;-0,2529188
-0,03347405;-0,05;-0,252911
-0,03576056;-0,05;-0,2528387
-0,0395061;-0,05;-0,2539231
-0,04132969;-0,05;-0,2538883
-0,04285936;-0,05;-0,2552817
-0,04524362;-0,05;-0,2561585
