x,y,z
-0,1008922;-0,05;-0,1888666
-0,09840201;-0,05;-0,1918731
-0,09718756;-0,05;-0,1939515
-0,09593014;-0,05;-0,1954407
-0,09337664;-0,05;-0,1969347
-0,09125895;-0,05;-0,1990909
-0,08994617;-0,05;-0,1994307
-0,0873719;-0,05;-0,2005881
-0,08608176;-0,05;-0,2011864
-0,08431645;-0,05;-0,2023119
-0,08258299;-0,05;-0,2040804
-0,08127981;-0,05;-0,2045957
-0,07999329;-0,05;-0,2061719
-0,07913945;-0,05;-0,2077904
-0,07786059;-0,05;-0,2107052
-0,0765467;-0,05;-0,2111406
-0,07527098;-0,05;-0,2133309
-0,07480968;-0,05;-0,213882
-0,07393605;-0,05;-0,2153512
-0,07396288;-0,05;-0,2183309
-0,07349019;-0,05;-0,2183708
-0,07349852;-0,05;-0,2195772
-0,07307532;-0,05;-0,2216652
-0,07352997;-0,05;-0,2242434
-0,07354312;-0,05;-0,2261882
-0,07494;-0,05;-0,2295059
-0,07585876;-0,05;-0,2311959
-0,0759007;-0,05;-0,2323312
-0,07818091;-0,05;-0,2329603
-0,0800552;-0,05;-0,2343882
-0,08141945;-0,05;-0,2353853
-0,08501706;-0,05;-0,2354453
-0,08734078;-0,05;-0,2369612
-0,08967389;-0,05;-0,2384086
-0,09286973;-0,05;-0,2386407
-0,094253;-0,05;-0,2387343
-0,09520076;-0,05;-0,2397792
-0,09792648;-0,05;-0,240072
-0,09928106;-0,05;-0,2400309
-0,101647;-0,05;-0,2424351
-0,1052255;-0,05;-0,2423173
-0,1094375;-0,05;-0,244778
-0,1116936;-0,05;-0,2451682
-0,1167121;-0,05;-0,2458555
-0,1189629;-0,05;-0,2457593
-0,1207506;-0,05;-0,2456779
-0,1212471;-0,05;-0,2464641
-0,1217208;-0,05;-0,2467311
-0,1217668;-0,05;-0,2476476
-0,1236707;-0,05;-0,2489897
-0,1254719;-0,05;-0,2488878
-0,1268345;-0,05;-0,2489113
-0,1300965;-0,05;-0,2500167
-0,1323529;-0,05;-0,2498891
-0,1341781;-0,05;-0,2498921
-0,1374401;-0,05;-0,2509815
-0,1392367;-0,05;-0,2509785
-0,1410991;-0,05;-0,2515897
-0,1442891;-0,05;-0,2517277
-0,1461033;-0,05;-0,2517185
-0,1479288;-0,05;-0,2515856
-0,1512178;-0,05;-0,2529188
-0,153474;-0,05;-0,252911
-0,1557606;-0,05;-0,2528387
-0,1595061;-0,05;-0,2539231
-0,1613297;-0,05;-0,2538883
-0,1628594;-0,05;-0,2552817
-0,1652436;-0,05;-0,2561585
