x,y,z
0,01600782;-0,05;0,06585785
0,0182862;-0,05;0,06543413
0,01992345;-0,05;0,06505866
0,0218687;-0,05;0,06470083
0,02354601;-0,05;0,0637456
0,02454133;-0,05;0,06311667
0,0255302;-0,05;0,06272669
0,02851417;-0,05;0,06144831
0,03018264;-0,05;0,06068037
0,03121925;-0,05;0,05982089
0,03227713;-0,05;0,05874334
0,03262319;-0,05;0,05826044
0,03299076;-0,05;0,05767833
0,034375;-0,05;0,05615839
0,03509971;-0,05;0,05485999
0,03581552;-0,05;0,05379938
0,03721428;-0,05;0,05212239
0,0379298;-0,05;0,05124273
0,03932495;-0,05;0,04980781
0,04139405;-0,05;0,04810481
0,0421393;-0,05;0,04656744
0,0428933;-0,05;0,04537352
0,04296967;-0,05;0,0440162
0,04307048;-0,05;0,04252596
0,04348559;-0,05;0,04139357
0,04356047;-0,05;0,04014508
0,04392449;-0,05;0,03950871
0,04403609;-0,05;0,03768955
0,04444055;-0,05;0,03647391
0,04450987;-0,05;0,03533264
0,04490309;-0,05;0,03453218
0,04494691;-0,05;0,03388188
0,04497103;-0,05;0,03347544
0,04532882;-0,05;0,03282503
0,04541431;-0,05;0,03142265
0,04550406;-0,05;0,02997046
0,04626056;-0,05;0,02877615
0,04629816;-0,05;0,02788864
0,04667728;-0,05;0,02684748
0,04743748;-0,05;0,0257481
0,04894457;-0,05;0,02352221
0,04931654;-0,05;0,02297822
0,05006009;-0,05;0,02220858
0,0505074;-0,05;0,02083376
0,05125852;-0,05;0,01999604
0,05199228;-0,05;0,01914041
0,05518187;-0,05;0,01800263
0,05661096;-0,05;0,01729901
0,05841319;-0,05;0,016613
0,06162621;-0,05;0,0155904
0,06375869;-0,05;0,01494679
0,06555159;-0,05;0,0144587
0,06836431;-0,05;0,0141408
0,07149202;-0,05;0,01376545
0,07390317;-0,05;0,01357425
0,0771281;-0,05;0,01257834
0,07923945;-0,05;0,01219848
0,08114899;-0,05;0,01103528
0,08506113;-0,05;0,01062794
0,08730818;-0,05;0,00927188
0,089517;-0,05;0,00852751
0,09388722;-0,05;0,007409632
0,09657045;-0,05;0,005548029
0,0995256;-0,05;0,004693082
0,1034081;-0,05;0,001954004
0,1053767;-0,05;0,0007432159
0,1076228;-0,05;6,566755E-05
0,1112226;-0,05;-0,002862472
0,1138781;-0,05;-0,00394175
0,1158636;-0,05;-0,005360379
0,1183327;-0,05;-0,007343048
0,1192486;-0,05;-0,00865949
0,1201796;-0,05;-0,009794539
0,1214664;-0,05;-0,01104909
0,1227365;-0,05;-0,01213611
0,123161;-0,05;-0,01246448
0,1235141;-0,05;-0,01472274
0,1239003;-0,05;-0,01481719
0,1241317;-0,05;-0,01636796
0,1243825;-0,05;-0,01793196
0,1246088;-0,05;-0,01933149
0,1248117;-0,05;-0,02072566
0,1255294;-0,05;-0,02307342
0,1254348;-0,05;-0,02490738
0,1257902;-0,05;-0,02728945
0,1263681;-0,05;-0,02847839
0,1264713;-0,05;-0,03174131
0,1262639;-0,05;-0,03254853
0,1262686;-0,05;-0,03517266
0,1262517;-0,05;-0,03751659
0,1261835;-0,05;-0,03955731
0,1260596;-0,05;-0,0438748
0,1259637;-0,05;-0,04591211
0,1257909;-0,05;-0,04740278
